prev_feedback_type,prev_feedback_time,prev_reward_time,prev_response,contrast_left,contrast_right,response
1.0,1.150299903994437,-4.099351075729828,1.0,0.0,0.5,-1.0
1.0,1.3005283345639782,-2.092173829722242,-1.0,0.0,0.25,-1.0
1.0,1.1026300926127988,-2.340851810716913,-1.0,1.0,0.0,1.0
1.0,1.6361604231494766,-1.506708053134389,1.0,0.25,0.0,1.0
1.0,1.5305526879762965,-2.312930455960668,1.0,1.0,0.25,1.0
1.0,1.2553566100423268,-4.652527106905836,1.0,0.25,1.0,-1.0
1.0,1.1384847620665823,-2.8067354968502514,-1.0,0.25,0.25,1.0
1.0,1.632596848015055,-1.7777903750679798,1.0,0.5,0.0,1.0
1.0,1.5951730080701054,-1.2810040456356546,1.0,1.0,0.25,1.0
1.0,1.253674232977346,-2.2588162657982593,1.0,0.5,0.5,-1.0
1.0,1.1900154451368508,-1.9694800420077172,-1.0,0.0,1.0,0.0
-1.0,2.4427456417195117,-6.998401489314801,0.0,0.0,1.0,0.0
-1.0,2.4787169924170485,-2.26497958777486,0.0,0.0,1.0,0.0
-1.0,2.4261176033853644,-2.225142135081569,0.0,0.0,1.0,0.0
-1.0,2.4316853420932603,-2.236985179951944,0.0,0.0,1.0,0.0
-1.0,2.802264049941641,-9.731828285010124,0.0,0.0,1.0,0.0
-1.0,2.694673724966151,-2.4591835471462673,0.0,0.0,1.0,0.0
-1.0,2.580490571422388,-2.211039879701275,0.0,0.0,1.0,0.0
-1.0,2.4517921901424415,-2.214458278961274,0.0,0.0,1.0,0.0
-1.0,2.7978575991101025,-2.5346419034954124,0.0,0.0,1.0,0.0
-1.0,2.7056123000072603,-2.4978856589846146,0.0,0.0,1.0,0.0
-1.0,2.681232510828295,-2.59061019185242,0.0,0.0,1.0,0.0
-1.0,2.8306752079099624,-2.555499753851791,0.0,0.0,1.0,0.0
